City,CityCode,District,DistrictCode,Ward,WardCode,Level,English,FullAddress,name,formatted_address,place_id,reference,id,geometry_location_lng,geometry_location_lat,geometry_viewport_southwest_lng,geometry_viewport_southwest_lat,geometry_viewport_northeast_lng,geometry_viewport_northeast_lat,types,center_lat,center_lng,radius
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Phúc Xá,1,Phường,,Phường Phúc Xá Quận Ba Đình Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Trúc Bạch,4,Phường,,Phường Trúc Bạch Quận Ba Đình Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Vĩnh Phúc,6,Phường,Vinh Phuc Commune,Phường Vĩnh Phúc Quận Ba Đình Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Cống Vị,7,Phường,,Phường Cống Vị Quận Ba Đình Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Liễu Giai,8,Phường,Lieu Giai Commune,Phường Liễu Giai Quận Ba Đình Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Nguyễn Trung Trực,10,Phường,,Phường Nguyễn Trung Trực Quận Ba Đình Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Quán Thánh,13,Phường,,Phường Quán Thánh Quận Ba Đình Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Ngọc Hà,16,Phường,,Phường Ngọc Hà Quận Ba Đình Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Điện Biên,19,Phường,,Phường Điện Biên Quận Ba Đình Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Đội Cấn,22,Phường,,Phường Đội Cấn Quận Ba Đình Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Ngọc Khánh,25,Phường,,Phường Ngọc Khánh Quận Ba Đình Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Kim Mã,28,Phường,,Phường Kim Mã Quận Ba Đình Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Giảng Võ,31,Phường,,Phường Giảng Võ Quận Ba Đình Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Thành Công,34,Phường,,Phường Thành Công Quận Ba Đình Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Phúc Tân,37,Phường,,Phường Phúc Tân Quận Hoàn Kiếm Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Đồng Xuân,40,Phường,,Phường Đồng Xuân Quận Hoàn Kiếm Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Mã,43,Phường,,Phường Hàng Mã Quận Hoàn Kiếm Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Buồm,46,Phường,,Phường Hàng Buồm Quận Hoàn Kiếm Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Đào,49,Phường,,Phường Hàng Đào Quận Hoàn Kiếm Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Bồ,52,Phường,,Phường Hàng Bồ Quận Hoàn Kiếm Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Cửa Đông,55,Phường,,Phường Cửa Đông Quận Hoàn Kiếm Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Lý Thái Tổ,58,Phường,,Phường Lý Thái Tổ Quận Hoàn Kiếm Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Bạc,61,Phường,,Phường Hàng Bạc Quận Hoàn Kiếm Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Gai,64,Phường,,Phường Hàng Gai Quận Hoàn Kiếm Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Chương Dương Độ,67,Phường,,Phường Chương Dương Độ Quận Hoàn Kiếm Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Trống,70,Phường,,Phường Hàng Trống Quận Hoàn Kiếm Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Cửa Nam,73,Phường,,Phường Cửa Nam Quận Hoàn Kiếm Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Bông,76,Phường,,Phường Hàng Bông Quận Hoàn Kiếm Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Tràng Tiền,79,Phường,,Phường Tràng Tiền Quận Hoàn Kiếm Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Trần Hưng Đạo,82,Phường,,Phường Trần Hưng Đạo Quận Hoàn Kiếm Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Phan Chu Trinh,85,Phường,,Phường Phan Chu Trinh Quận Hoàn Kiếm Thành phố Hà Nội,,,,,,,,,,,,,,,
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Bài,88,Phường,,Phường Hàng Bài Quận Hoàn Kiếm Thành phố Hà Nội,,,,,,,,,,,,,,,
